order_id,customer_id,product_id,order_date,quantity,status
O500084,C101250,P2210,11/09/2023,5,completed
O500085,C100764,P2208,06/30/2023,5,cancelled
O500086,C100282,P2025,06/14/2023,3,completed
O500087,C100284,P2043,02/03/2023,1,returned
O500088,C101423,P2173,09/04/2023,3,completed
O500089,C100569,P2105,06/22/2023,3,cancelled
O500090,C100572,P2230,07/11/2023,1,returned
O500091,C100899,P2043,02/06/2023,2,completed
O500092,C100110,P2019,02/14/2023,1,completed
O500093,C101020,P2072,08/30/2023,2,completed
O500094,C100236,P2147,02/10/2023,3,completed
O500095,C100281,P2165,01/15/2023,1,cancelled
O500096,C100290,P2255,06/07/2023,5,completed
O500097,C100597,P2174,09/11/2023,3,completed
O500098,C100524,P2241,09/23/2023,3,completed
O500099,C101339,P2136,04/06/2023,3,completed
O500100,C100279,P2249,12/12/2023,5,completed
O500101,C100356,P2190,06/22/2023,1,completed
O500102,C100893,P2224,01/27/2023,2,completed
O500103,C100055,P2165,04/10/2023,2,completed
O500104,C100821,P2237,04/20/2023,3,completed
O500105,C101321,P2031,11/01/2023,1,completed
O500106,C100240,P2066,08/09/2023,2,completed
O500107,C100549,P2051,12/10/2023,2,completed
O500108,C100296,P2037,09/05/2023,2,completed
O500109,C100308,P2054,10/28/2023,5,completed
O500110,C100589,P2111,10/28/2023,2,completed
O500111,C100258,P2159,04/01/2023,5,returned
O500112,C101019,P2264,03/06/2023,2,completed
O500113,C100801,P2046,07/24/2023,3,completed
O500114,C100195,P2073,05/30/2023,1,completed
O500115,C100079,P2209,06/17/2023,1,completed
O500116,C101394,P2186,08/20/2023,4,completed
O500117,C100503,P2166,01/18/2023,2,cancelled
O500118,C101173,P2131,07/06/2023,2,completed
O500119,C100238,P2030,04/27/2023,1,completed
O500120,C100184,P2145,08/11/2023,3,cancelled
O500121,C100269,P2218,07/07/2023,5,completed
O500122,C100763,P2016,03/10/2023,1,completed
O500123,C100127,P2057,05/17/2023,3,completed
O500124,C100579,P2099,05/21/2023,2,completed
O500125,C100108,P2204,01/27/2023,1,completed
O500126,C100578,P2106,09/18/2023,4,cancelled
O500127,C100289,P2073,03/24/2023,3,completed
O500128,C101072,P2173,11/13/2023,3,completed
O500129,C100489,P2185,11/27/2023,2,completed
O500130,C100985,P2044,06/20/2023,3,completed
O500131,C100145,P2085,11/02/2023,3,completed
O500132,C100066,P2263,07/22/2023,1,completed
O500133,C100088,P2223,12/26/2023,5,returned
O500134,C100712,P2243,09/23/2023,3,completed
O500135,C101273,P2188,07/06/2023,1,completed
O500136,C100430,P2034,09/06/2023,2,completed
O500137,C101052,P2236,09/13/2023,4,completed
O500138,C100826,P2219,10/01/2023,3,completed
O500139,C100644,P2114,12/15/2023,1,completed
O500140,C100876,P2074,05/21/2023,5,completed
O500141,C100024,P2114,10/13/2023,2,returned
O500142,C100993,P2195,07/06/2023,3,completed
O500143,C100620,P2211,06/18/2023,1,completed
O500144,C100311,P2214,09/11/2023,1,returned
O500145,C101274,P2028,12/16/2023,4,completed
O500146,C100142,P2272,08/15/2023,3,completed
O500147,C100719,P2128,05/24/2023,4,completed
O500148,C100045,P2074,09/11/2023,3,completed
O500149,C100049,P2134,09/11/2023,1,completed
O500150,C100719,P2229,01/09/2023,2,completed
O500151,C101248,P2271,01/30/2023,4,completed
O500152,C100686,P2027,06/15/2023,1,completed
O500153,C100614,P2188,01/08/2023,4,completed
O500154,C100860,P2173,02/22/2023,3,completed
O500155,C101424,P2104,03/04/2023,1,completed
O500156,C100209,P2100,07/11/2023,5,cancelled
O500157,C100343,P2250,10/17/2023,5,completed
O500158,C100156,P2210,03/29/2023,2,completed
O500159,C100499,P2191,01/10/2023,5,completed
O500160,C100802,P2016,08/18/2023,4,completed
O500161,C100834,P2139,01/27/2023,3,completed
O500162,C100590,P2120,12/27/2023,3,completed
O500163,C100474,P2134,01/28/2023,4,returned
O500164,C100429,P2104,06/26/2023,1,completed
O500165,C100791,P2126,02/03/2023,2,completed
O500166,C100573,P2070,01/31/2023,4,completed
O500167,C100167,P2272,11/29/2023,3,completed
O500168,C100979,P2080,09/04/2023,1,completed
O500169,C100507,P2292,01/04/2023,5,cancelled
O500170,C100508,P2269,07/27/2023,4,completed
O500171,C101132,P2121,05/21/2023,1,completed
O500172,C100848,P2277,10/14/2023,5,completed
O500173,C101134,P2263,09/17/2023,3,completed
O500174,C100703,P2226,08/29/2023,2,cancelled
O500175,C100859,P2220,04/12/2023,2,completed
O500176,C100359,P2158,01/20/2023,2,completed
O500177,C100278,P2162,08/13/2023,5,completed
O500178,C100249,P2029,02/09/2023,1,completed
O500179,C100280,P2198,08/09/2023,1,completed
O500180,C101490,P2258,04/30/2023,5,completed
O500181,C100300,P2240,03/25/2023,3,completed
O500182,C100026,P2264,01/14/2023,3,completed
O500183,C100704,P2279,01/24/2023,2,completed
O500184,C100030,P2230,12/03/2023,4,completed
O500185,C101021,P2227,11/20/2023,3,completed
O500186,C100512,P2289,11/24/2023,5,completed
O500187,C101238,P2048,11/26/2023,1,cancelled
O500188,C101386,P2076,10/13/2023,1,cancelled
O500189,C101210,P2100,01/23/2023,4,completed
O500190,C100837,P2036,12/02/2023,2,completed
O500191,C100490,P2279,03/17/2023,1,returned
O500192,C100138,P2037,09/10/2023,4,completed
O500193,C101387,P2218,06/21/2023,4,returned
O500194,C100029,P2023,07/30/2023,4,completed
O500195,C101316,P2010,11/30/2023,1,completed
O500196,C100310,P2059,01/30/2023,1,returned
O500197,C100465,P2187,01/21/2023,4,completed
O500198,C101409,P2001,07/26/2023,2,completed
O500199,C100425,P2240,07/06/2023,4,completed
O500200,C100782,P2022,08/01/2023,4,completed
O500201,C100874,P2067,10/09/2023,3,completed
O500202,C100164,P2232,12/11/2023,1,cancelled
O500203,C101082,P2069,10/13/2023,3,completed
O500204,C101470,P2025,08/03/2023,4,completed
O500205,C100686,P2199,10/20/2023,4,completed
O500206,C100774,P2168,11/10/2023,3,cancelled
O500207,C100224,P2090,03/24/2023,2,completed
O500208,C100836,P2265,05/15/2023,3,returned
O500209,C100019,P2163,03/10/2023,4,returned
O500210,C101217,P2252,10/15/2023,2,completed
O500211,C100989,P2129,02/22/2023,4,completed
O500212,C100735,P2128,01/19/2023,1,cancelled
O500213,C101313,P2143,03/20/2023,3,completed
O500214,C100930,P2082,06/15/2023,2,completed
O500215,C101051,P2124,07/16/2023,3,cancelled
O500216,C101364,P2227,08/25/2023,4,returned
O500217,C100206,P2050,06/07/2023,4,returned
O500218,C100888,P2028,08/12/2023,2,completed
O500219,C101018,P2148,01/26/2023,1,returned
O500220,C100857,P2193,01/16/2023,2,completed
O500221,C100267,P2123,06/04/2023,2,completed
O500222,C100535,P2005,02/21/2023,3,returned
O500223,C101155,P2171,05/03/2023,5,returned
O500224,C101491,P2079,07/11/2023,2,returned
O500225,C101406,P2084,06/24/2023,1,completed
O500226,C100279,P2039,12/09/2023,3,completed
O500227,C100553,P2030,10/07/2023,5,completed
O500228,C100512,P2042,12/05/2023,5,completed
O500229,C100973,P2186,01/18/2023,4,completed
O500230,C100341,P2126,08/25/2023,1,completed
O500231,C100636,P2019,02/17/2023,2,completed
O500232,C100470,P2229,12/22/2023,5,completed
O500233,C100529,P2139,05/24/2023,3,returned
O500234,C100240,P2276,10/14/2023,2,returned
O500235,C100574,P2114,04/30/2023,1,completed
O500236,C100762,P2091,04/18/2023,4,completed
O500237,C101413,P2125,11/07/2023,4,completed
O500238,C100131,P2103,05/01/2023,1,completed
O500239,C101090,P2083,02/14/2023,2,completed
O500240,C100521,P2276,08/08/2023,3,completed
O500241,C101272,P2014,09/13/2023,1,returned
O500242,C100925,P2234,07/05/2023,2,completed
O500243,C100315,P2052,07/20/2023,2,completed
O500244,C101291,P2231,09/19/2023,5,completed
O500245,C101342,P2161,08/02/2023,1,completed
O500246,C100192,P2025,12/13/2023,5,completed
O500247,C100193,P2232,04/26/2023,4,completed
O500248,C100912,P2250,04/10/2023,2,returned
O500249,C100446,P2002,02/06/2023,3,completed
O500250,C101096,P2068,10/03/2023,2,cancelled
O500251,C101204,P2007,04/06/2023,2,completed
O500252,C100727,P2256,07/11/2023,3,completed
O500253,C100053,P2291,07/08/2023,1,completed
O500254,C100600,P2197,10/03/2023,4,completed
O500255,C101024,P2249,02/05/2023,2,completed
O500256,C101396,P2080,09/12/2023,5,completed
O500257,C101395,P2078,03/02/2023,5,completed
O500258,C100516,P2260,01/24/2023,5,completed
O500259,C100705,P2079,09/29/2023,5,returned
O500260,C100291,P2140,05/15/2023,5,completed
O500261,C101289,P2015,03/14/2023,2,returned
O500262,C101264,P2231,03/12/2023,2,completed
O500263,C101001,P2034,02/18/2023,3,completed
O500264,C100580,P2233,10/06/2023,1,cancelled
O500265,C101478,P2161,08/13/2023,2,completed
O500266,C101202,P2030,01/08/2023,1,completed
O500267,C101386,P2264,01/06/2023,2,completed
O500268,C100765,P2226,04/21/2023,5,completed
O500269,C101207,P2264,01/08/2023,5,completed
O500270,C100200,P2164,09/24/2023,2,completed
O500271,C101476,P2121,02/08/2023,1,completed
O500272,C101018,P2040,06/10/2023,5,completed
O500273,C100983,P2287,08/27/2023,5,completed
O500274,C100849,P2076,12/17/2023,5,completed
O500275,C100879,P2170,01/17/2023,2,completed
O500276,C100818,P2064,11/05/2023,1,completed
O500277,C100907,P2234,07/05/2023,4,completed
O500278,C100825,P2050,06/11/2023,3,completed
O500279,C100297,P2110,07/11/2023,2,returned
O500280,C100710,P2170,06/12/2023,4,completed
O500281,C101426,P2259,06/05/2023,3,completed
O500282,C101475,P2202,12/08/2023,2,completed
O500283,C101498,P2042,06/09/2023,1,completed
O500284,C101257,P2088,02/05/2023,1,completed
O500285,C100005,P2094,08/03/2023,5,completed
O500286,C100991,P2052,01/28/2023,3,returned
O500287,C100033,P2157,04/17/2023,5,completed
O500288,C100510,P2243,04/18/2023,5,completed
O500289,C100658,P2271,02/08/2023,1,completed
O500290,C101121,P2129,02/14/2023,5,completed
O500291,C100849,P2043,12/09/2023,2,completed
O500292,C100106,P2174,02/26/2023,3,completed
O500293,C101251,P2107,04/12/2023,3,completed
O500294,C100178,P2179,05/22/2023,4,completed
O500295,C100938,P2267,10/08/2023,5,completed
O500296,C100124,P2227,12/18/2023,2,completed
O500297,C100726,P2252,04/10/2023,3,completed
O500298,C101395,P2203,08/21/2023,4,completed
O500299,C100260,P2034,06/29/2023,3,completed
O500300,C100647,P2015,07/17/2023,2,cancelled
O500301,C100807,P2153,07/30/2023,1,cancelled
O500302,C100829,P2170,06/23/2023,4,completed
O500303,C100070,P2121,08/22/2023,3,completed
O500304,C101332,P2105,01/20/2023,1,completed
O500305,C100510,P2205,05/29/2023,3,completed
O500306,C100757,P2197,03/28/2023,5,completed
O500307,C100049,P2190,03/20/2023,4,completed
O500308,C100342,P2196,05/31/2023,4,completed
O500309,C100241,P2181,06/04/2023,5,completed
O500310,C101076,P2018,07/31/2023,1,completed
O500311,C101470,P2117,02/03/2023,1,completed
O500312,C101352,P2161,08/13/2023,5,completed
O500313,C100053,P2118,09/06/2023,5,completed
O500314,C100700,P2058,04/29/2023,5,completed
O500315,C100889,P2023,08/16/2023,3,completed
O500316,C101281,P2202,12/05/2023,4,cancelled
O500317,C101105,P2181,11/04/2023,2,completed
O500318,C101072,P2040,08/08/2023,4,completed
O500319,C101210,P2024,02/19/2023,4,cancelled
O500320,C101078,P2199,11/07/2023,5,completed
O500321,C101273,P2212,01/14/2023,5,completed
O500322,C101246,P2296,02/19/2023,4,completed
O500323,C101199,P2251,12/16/2023,4,completed
O500324,C101401,P2104,09/04/2023,5,completed
O500325,C100579,P2215,09/06/2023,1,cancelled
O500326,C100836,P2088,11/08/2023,5,returned
O500327,C100256,P2160,09/02/2023,3,completed
O500328,C100187,P2231,10/05/2023,4,completed
O500329,C100716,P2186,01/19/2023,2,completed
O500330,C100840,P2082,05/11/2023,4,completed
O500331,C100496,P2205,12/21/2023,2,completed
O500332,C101201,P2172,10/07/2023,4,returned
O500333,C100411,P2097,02/16/2023,5,returned
O500334,C100912,P2019,09/29/2023,3,completed
O500335,C100669,P2104,11/08/2023,4,cancelled
O500336,C100915,P2280,04/09/2023,5,completed
O500337,C101074,P2168,05/19/2023,4,completed
O500338,C101174,P2232,08/01/2023,1,completed
O500339,C100061,P2297,04/02/2023,5,completed
O500340,C100405,P2176,07/30/2023,1,completed
O500341,C101000,P2296,01/05/2023,4,completed
O500342,C100155,P2178,04/19/2023,3,completed
O500343,C100150,P2056,02/22/2023,5,completed
O500344,C100898,P2245,09/08/2023,4,completed
O500345,C100654,P2256,09/03/2023,3,cancelled
O500346,C100562,P2180,07/30/2023,5,completed
O500347,C100123,P2030,06/03/2023,1,completed
O500348,C100439,P2214,08/18/2023,4,completed
O500349,C100618,P2020,08/19/2023,5,completed
O500350,C100825,P2110,04/15/2023,2,completed
O500351,C100679,P2281,10/17/2023,3,completed
O500352,C101449,P2294,01/03/2023,1,completed
O500353,C100106,P2148,08/14/2023,5,returned
O500354,C101176,P2209,04/30/2023,1,returned
O500355,C101308,P2151,01/01/2023,5,completed
O500356,C101043,P2125,02/20/2023,5,completed
O500357,C100197,P2138,05/14/2023,5,completed
O500358,C100493,P2159,02/17/2023,1,cancelled
O500359,C100966,P2092,03/14/2023,2,completed
O500360,C100985,P2120,04/29/2023,5,completed
O500361,C100055,P2119,06/03/2023,3,completed
O500362,C100184,P2033,12/12/2023,2,completed
O500363,C100597,P2006,09/21/2023,1,completed
O500364,C101194,P2062,03/26/2023,1,completed
O500365,C100998,P2291,04/14/2023,1,completed
O500366,C100046,P2003,10/19/2023,3,completed
O500367,C100930,P2288,05/12/2023,4,completed
O500368,C100526,P2175,03/12/2023,3,completed
O500369,C101417,P2246,03/21/2023,3,cancelled
O500370,C100065,P2116,01/02/2023,2,completed
O500371,C100959,P2078,12/26/2023,1,completed
O500372,C101033,P2160,09/04/2023,4,completed
O500373,C101464,P2260,05/15/2023,1,returned
O500374,C100898,P2230,02/01/2023,3,cancelled
O500375,C101474,P2224,02/06/2023,2,completed
O500376,C100223,P2144,02/14/2023,1,completed
O500377,C101321,P2122,05/22/2023,5,completed
O500378,C100956,P2064,03/30/2023,2,completed
O500379,C100647,P2102,01/01/2023,2,completed
O500380,C100199,P2177,10/21/2023,2,completed
O500381,C101323,P2031,07/31/2023,1,completed
O500382,C100433,P2250,09/17/2023,5,returned
O500383,C101424,P2132,01/27/2023,5,completed
O500384,C101422,P2170,09/07/2023,4,completed
O500385,C101219,P2078,02/04/2023,3,returned
O500386,C100938,P2228,12/22/2023,2,completed
O500387,C101378,P2211,05/29/2023,2,completed
O500388,C100024,P2015,04/08/2023,4,returned
O500389,C100558,P2010,04/03/2023,4,completed
O500390,C101208,P2006,08/13/2023,4,completed
O500391,C101394,P2098,08/02/2023,4,completed
O500392,C101387,P2015,06/29/2023,5,completed
O500393,C101170,P2206,06/28/2023,5,completed
O500394,C101323,P2106,05/11/2023,1,completed
O500395,C101048,P2166,11/14/2023,2,completed
O500396,C101127,P2146,12/29/2023,1,completed
O500397,C100568,P2153,04/21/2023,1,completed
O500398,C100307,P2204,02/08/2023,5,completed
O500399,C100306,P2266,06/14/2023,5,completed
O500400,C100836,P2219,04/27/2023,3,completed
O500401,C100372,P2295,10/19/2023,2,cancelled
O500402,C101374,P2016,10/11/2023,3,completed
O500403,C100720,P2029,09/06/2023,1,completed
O500404,C100331,P2295,03/30/2023,3,completed
O500405,C100396,P2083,05/26/2023,1,returned
O500406,C100144,P2198,03/27/2023,3,completed
O500407,C101120,P2187,09/11/2023,4,completed
O500408,C100139,P2095,11/30/2023,1,cancelled
O500409,C101225,P2255,03/23/2023,1,completed
O500410,C101336,P2263,07/03/2023,1,completed
O500411,C100627,P2237,12/30/2023,3,completed
O500412,C100642,P2001,12/27/2023,2,completed
O500413,C101204,P2176,02/23/2023,2,completed
O500414,C101191,P2035,08/01/2023,2,completed
O500415,C101496,P2004,02/28/2023,4,completed
O500416,C100580,P2280,09/12/2023,4,completed
O500417,C100788,P2081,01/23/2023,5,completed
O500418,C100574,P2207,09/24/2023,3,completed
O500419,C100117,P2012,02/11/2023,3,completed
O500420,C100016,P2140,09/12/2023,5,completed
O500421,C101168,P2047,12/30/2023,5,returned
O500422,C101308,P2034,05/17/2023,5,completed
O500423,C100021,P2173,04/12/2023,5,completed
O500424,C100249,P2048,01/09/2023,1,completed
O500425,C100949,P2211,12/22/2023,4,completed
O500426,C100139,P2181,02/18/2023,5,completed
O500427,C100202,P2193,09/18/2023,3,cancelled
O500428,C100246,P2205,06/28/2023,3,completed
O500429,C100545,P2196,05/01/2023,3,completed
O500430,C100176,P2239,10/01/2023,2,completed
O500431,C100632,P2070,03/23/2023,2,returned
O500432,C100895,P2003,06/28/2023,4,completed
O500433,C100153,P9999,03/17/2023,4,completed
O500434,C101173,P2060,04/26/2023,5,completed
O500435,C100741,P2128,12/07/2023,1,completed
O500436,C100198,P2190,09/01/2023,2,completed
O500437,C101245,P2199,11/25/2023,2,completed
O500438,C101211,P2166,03/27/2023,1,completed
O500439,C100167,P2011,11/02/2023,4,returned
O500440,C100409,P2075,01/28/2023,3,returned
O500441,C100950,P2150,08/30/2023,4,completed
O500442,C101287,P2057,09/28/2023,3,completed
O500443,C100821,P2167,06/13/2023,1,completed
O500444,C100455,P2299,09/04/2023,5,completed
O500445,C100932,P2061,08/25/2023,5,completed
O500446,C100369,P2224,08/08/2023,2,completed
O500447,C100427,P2039,02/05/2023,2,completed
O500448,C101171,P2114,06/26/2023,2,completed
O500449,C100708,P2152,04/07/2023,1,completed
O500450,C100414,P2126,01/26/2023,4,completed
O500451,C101125,P2161,04/08/2023,4,completed
O500452,C100596,P2057,01/16/2023,3,completed
O500453,C101069,P2182,10/02/2023,1,completed
O500454,C101432,P2157,01/18/2023,4,completed
O500455,C100687,P2154,01/14/2023,5,completed
O500456,C100476,P2180,06/11/2023,2,completed
O500457,C100571,P2102,01/31/2023,4,cancelled
O500458,C100584,P2024,05/14/2023,5,completed
O500459,C100068,P2286,10/05/2023,2,completed
O500460,C100668,P2283,11/20/2023,3,completed
O500461,C101499,P2077,08/11/2023,1,returned
O500462,C101356,P2132,08/16/2023,4,completed
O500463,C100160,P2272,09/09/2023,1,returned
O500464,C101394,P9999,09/02/2023,3,cancelled
O500465,C100134,P2205,12/22/2023,4,completed
O500466,C100621,P2262,09/08/2023,5,completed
O500467,C101179,P2242,08/04/2023,5,completed
O500468,C100066,P2081,01/07/2023,3,completed
O500469,C101310,P2197,11/21/2023,2,returned
O500470,C100095,P2019,02/25/2023,5,completed
O500471,C101173,P2077,03/05/2023,2,completed
O500472,C101449,P2068,08/24/2023,5,returned
O500473,C101002,P2017,05/26/2023,1,completed
O500474,C100451,P2176,05/08/2023,2,completed
O500475,C101197,P2016,05/27/2023,4,completed
O500476,C100082,P2007,01/11/2023,2,completed
O500477,C100435,P2109,07/30/2023,1,completed
O500478,C101325,P2058,09/13/2023,3,completed
O500479,C101040,P2256,03/28/2023,2,completed
O500480,C100407,P2178,11/10/2023,1,completed
O500481,C100764,P2232,03/31/2023,4,completed
O500482,C100907,P2284,12/24/2023,4,completed
O500483,C100949,P2068,07/06/2023,3,completed
O500484,C101309,P2182,03/31/2023,1,completed
O500485,C101292,P2261,03/16/2023,1,completed
O500486,C100598,P2234,10/01/2023,1,completed
O500487,C101453,P2215,01/15/2023,3,completed
O500488,C100096,P2036,08/01/2023,5,completed
O500489,C100029,P2193,06/12/2023,2,completed
O500490,C100142,P2212,07/29/2023,3,completed
O500491,C100394,P9999,11/09/2023,1,completed
O500492,C101081,P2047,09/30/2023,3,completed
O500493,C101457,P2112,05/03/2023,4,completed
O500494,C101185,P2167,07/27/2023,4,cancelled
O500495,C100853,P2101,01/16/2023,4,completed
O500496,C101001,P2157,12/10/2023,2,completed
O500497,C100558,P2070,11/06/2023,1,completed
O500498,C100456,P2216,09/26/2023,1,completed
O500499,C100333,P2091,04/29/2023,4,completed
O500500,C101008,P2070,03/04/2023,2,completed
O500501,C101274,P2096,04/18/2023,3,completed
O500502,C101377,P2094,01/12/2023,3,cancelled
O500503,C100590,P2164,07/29/2023,1,completed
O500504,C100012,P2286,12/27/2023,2,completed
O500505,C101237,P2061,05/05/2023,4,completed
O500506,C100807,P2154,12/28/2023,5,completed
O500507,C101467,P2228,08/31/2023,4,completed
O500508,C101227,P2190,03/08/2023,4,completed
O500509,C100351,P2155,10/20/2023,2,completed
O500510,C101107,P2119,05/11/2023,2,completed
O500511,C101456,P2030,02/18/2023,4,completed
O500512,C100131,P2066,11/04/2023,5,completed
O500513,C100637,P2263,01/10/2023,4,completed
O500514,C101069,P2111,11/23/2023,5,completed
O500515,C101025,P2145,10/30/2023,5,completed
O500516,C100523,P2279,10/25/2023,4,completed
O500517,C100955,P2145,07/23/2023,5,completed
O500518,C100917,P2058,09/11/2023,4,completed
O500519,C101370,P2133,08/04/2023,1,returned
O500520,C100538,P2022,07/17/2023,2,completed
O500521,C101089,P2147,10/08/2023,1,completed
O500522,C101241,P2091,10/29/2023,4,completed
O500523,C100117,P2075,06/29/2023,2,completed
O500524,C100086,P2283,01/02/2023,3,cancelled
O500525,C100910,P2242,06/20/2023,4,completed
O500526,C100870,P2068,04/26/2023,2,completed
O500527,C101291,P2223,07/01/2023,5,completed
O500528,C100694,P2282,11/19/2023,3,completed
O500529,C100402,P2181,11/06/2023,1,completed
O500530,C101432,P2145,06/16/2023,4,completed
O500531,C101488,P2184,10/26/2023,4,completed
O500532,C100152,P2220,09/07/2023,3,completed
O500533,C100672,P2068,07/04/2023,3,completed
O500534,C101108,P2025,12/15/2023,2,completed
O500535,C101066,P2151,01/26/2023,1,returned
O500536,C100494,P2225,08/15/2023,2,completed
O500537,C100193,P2283,03/02/2023,5,completed
O500538,C101049,P2268,11/22/2023,1,completed
O500539,C101341,P2188,05/30/2023,1,completed
O500540,C100155,P2051,08/11/2023,4,completed
O500541,C101323,P2249,12/31/2023,5,completed
O500542,C100316,P2110,10/13/2023,5,completed
O500543,C101005,P2164,08/24/2023,1,completed
O500544,C100177,P2162,01/25/2023,2,completed
O500545,C101481,P2152,06/13/2023,3,completed
O500546,C101425,P2101,10/14/2023,4,completed
O500547,C101436,P2245,02/03/2023,2,completed
O500548,C101457,P2207,06/16/2023,5,completed
O500549,C100968,P2248,12/05/2023,4,returned
O500550,C101432,P2204,04/27/2023,4,completed
O500551,C100391,P2104,10/11/2023,2,completed
O500552,C101420,P2276,05/21/2023,4,completed
O500553,C100831,P2136,07/01/2023,5,completed
O500554,C100743,P2246,08/02/2023,5,cancelled
O500555,C101442,P2219,05/30/2023,3,cancelled
O500556,C100889,P2274,11/22/2023,3,completed
O500557,C100108,P2263,07/10/2023,3,returned
O500558,C100368,P2226,09/01/2023,5,completed
O500559,C101441,P2013,01/17/2023,4,completed
O500560,C100207,P2108,11/26/2023,4,completed
O500561,C100564,P2143,09/15/2023,3,completed
O500562,C100930,P2193,03/11/2023,3,completed
O500563,C101322,P2107,12/23/2023,5,completed
O500564,C101091,P2200,10/30/2023,3,completed
O500565,C101369,P2239,11/01/2023,2,completed
O500566,C100851,P2162,05/10/2023,2,completed
O500567,C101311,P2106,04/12/2023,4,completed
O500568,C100098,P9999,04/04/2023,1,completed
O500569,C100008,P2044,09/08/2023,1,cancelled
O500570,C100440,P2216,06/24/2023,1,completed
O500571,C100031,P2286,10/20/2023,3,completed
O500572,C101394,P2167,04/20/2023,2,returned
O500573,C100277,P2203,04/19/2023,1,completed
O500574,C100869,P2254,09/18/2023,5,returned
O500575,C101285,P2112,10/09/2023,1,completed
O500576,C100636,P2180,12/11/2023,1,completed
